num__AGE,num__PTEDUCAT,num__CDGLOBAL,num__CDRSB,num__MMSCORE,cat__PTGENDER_Female,cat__PTGENDER_Male,cat__PTETHCAT_Hispanic or Latino,cat__PTETHCAT_Not Hispanic or Latino,cat__PTETHCAT_Unknown,cat__PTRACCAT_American Indian or Alaskan Native,cat__PTRACCAT_Asian,cat__PTRACCAT_Black or African American,cat__PTRACCAT_More than one race,cat__PTRACCAT_Native Hawaiian or Other Pacific Islander,cat__PTRACCAT_Unknown,cat__PTRACCAT_White,cat__APOE_ε2/ε3,cat__APOE_ε2/ε4,cat__APOE_ε3/ε3,cat__APOE_ε3/ε4,cat__APOE_ε4/ε4
0.26951286,-0.8857106,0.0069739595,-0.5136906,0.46649444,-0.032702994,-0.015668014,0.00202478,-0.003560436,-0.0006358824,0.0,0.0035157055,-0.010756292,0.0,0.0,0.0,0.07849867,0.05080341,0.0024230077,0.12570275,0.047836315,-0.041732244
0.9863901,-0.16526668,0.0066350424,0.44544786,-0.75178456,0.1047577,0.011668563,0.004478206,0.0004705319,-0.0006358824,0.0,0.003268665,-0.01116903,0.0,0.0,0.0,0.051204003,0.058510482,-0.0010028959,-0.38109645,-0.16847959,-0.028842669
-2.0762935,-0.515625,0.0060136295,-0.7302106,-0.7893538,-0.10867231,0.008863978,-0.018207386,0.0011146504,-0.0006358824,0.0,0.00299212,-0.0038913065,0.0,0.0,0.0,0.05603049,0.041177675,-0.005436003,-0.44413692,-0.11135961,-0.11181805
-0.9915928,-0.19943622,0.0063328864,0.39697984,1.0295382,-0.20826472,-0.028231794,-0.039267264,-0.002199121,-0.0006358824,0.0,0.0033001641,-0.0043875943,0.0,0.0,0.0,0.08158364,0.055986926,0.0022410797,-0.15999055,-0.12206465,-0.035555378
-0.53243375,0.09311798,0.0071867346,-0.2986154,-0.4020028,-0.16511668,0.010310588,0.0040107104,-0.0021949327,-0.0006358824,0.0,0.0031318108,-0.010435514,0.0,0.0,0.0,0.053397644,0.04529277,-0.003713425,-0.4541436,-0.11986415,-0.08746608
-0.36146644,-0.15543187,0.005448281,0.07600022,-0.10473706,-0.25894773,-0.05328139,0.0035309182,0.00042745253,-0.0006358824,0.0,0.003088657,-0.010122078,0.0,0.0,0.0,0.053153615,-2.9479568,0.0012275474,0.07553193,-0.12684676,-0.060468677
-0.5965813,0.0792405,0.0069732177,-0.90218985,0.42627612,-0.032083206,0.013983291,-0.0005221368,0.0018640552,-0.0006358824,0.0,0.0034335381,-0.02049013,0.0,0.0,0.0,0.061391883,0.046641745,0.0030418274,-0.39584482,-0.15381566,-0.10368661
-0.19527838,-0.3813679,0.005631528,-0.43231174,-0.6983576,-0.10722017,0.008153923,0.0021978589,0.0011146504,-0.0006358824,0.0,0.00299212,-0.0038913065,0.0,0.0,0.0,0.058958225,0.043644276,-0.004876312,-0.55866337,-0.16825491,-0.10842179
0.032722216,-0.41358775,0.0068374895,-1.3373802,-0.9255781,-0.1104244,0.013319829,0.003019406,0.0013658414,-0.006284812,0.0,0.003308951,-0.03032274,0.0,0.0,0.0,0.03287192,0.04375571,-0.0014285594,-0.4677763,-0.21012403,-0.07121289
0.010858044,0.052489147,0.0064449674,-0.6093848,-0.43025878,-0.031995878,-0.012717715,0.0030852817,0.00013170257,-0.0006358824,0.0,0.003404068,-0.010850911,0.0,0.0,0.0,0.057879433,0.04811817,-0.0054196767,0.18015435,0.07529849,-0.04889193
-1.4362671,-0.11021314,0.0058872732,0.2904215,-1.3411238,0.04768692,0.01206443,-0.021737844,1.8327322e-05,-0.0006358824,0.0,0.0029936342,-0.005164271,0.0,0.0,0.0,0.05497298,0.05087401,-0.0056611192,0.03931097,-0.123313054,0.15461618
-0.777482,0.01325541,0.006847097,-0.515233,-0.00618879,-0.0044241543,0.013983291,-0.013142317,0.0013820743,-0.0004964937,0.0,0.0034335381,0.04860969,0.0,0.0,0.0,-1.5174046,0.044049174,-0.39112994,0.20299467,-0.12767997,-0.10138828
-2.4030168,-0.5636729,0.006527605,-0.44863355,-0.969494,0.06848147,0.014634823,-0.023943331,-0.0020936234,-0.0006358824,0.0,0.0032507852,-0.005002359,0.0,0.0,0.0,0.053081654,0.039916504,-0.0056276587,-0.12091109,-0.046361532,-0.080436915
0.32717693,-0.07249771,0.00689058,0.48891315,0.285975,0.028739674,-0.0026348853,0.0037234887,-0.0017336407,-0.0006358824,0.0,0.003216397,-0.010592227,0.0,0.0,0.0,0.05634644,0.06204588,0.0020606106,-0.2542598,-0.10569623,-0.030821636
-1.8275467,0.18925962,0.0060888696,0.5991976,-0.28010926,-0.02451332,-0.012686682,-0.0063787834,-0.0042948173,-0.00049097877,0.0,0.003032374,-0.005403216,0.0,0.0,0.0,0.04303953,0.055472434,-0.00084978715,0.33355522,0.23437761,-0.04074191
-0.28258967,0.087275416,0.006769952,-0.99563503,-0.8068869,-0.0003446199,-0.016205389,0.0014740024,0.0013658414,-0.0006358824,0.0,0.0034281749,-0.04931601,0.0,0.0,0.0,0.030677732,0.042913903,-0.0021618714,-0.3966171,-0.1827646,-0.054084413
-0.6194282,0.08013023,0.007080655,0.26518506,0.4529345,-0.05488395,0.0138723375,0.0036534467,0.00022872421,-0.0006358824,0.0,0.0033303525,-0.010378314,0.0,0.0,0.0,0.079701036,0.0642881,0.0027769203,0.17412002,0.13952512,-0.06868755
-0.618305,0.14770779,0.006769952,-1.0778426,-2.132004,-0.115889356,-0.0015863498,0.0012485352,0.00013170257,-0.0006358824,0.0,0.0031326525,-0.043685887,0.0,0.0,0.0,0.033533145,0.041958947,-0.0049410453,0.08291633,0.081836276,-0.07207523
0.004932559,-0.2515954,0.006194444,0.29710808,-0.3574937,0.023553418,0.0025271284,0.00091345975,-0.0076192026,-0.0006358824,0.0,0.0031037787,-0.0066155223,0.0,0.0,0.0,0.04794778,0.060973063,-0.0019176949,0.22051427,0.2206501,-0.039544042
0.13478573,-0.021415267,0.00677683,0.4828463,0.22703037,-0.07985731,-0.0013426113,0.003818254,0.0003916478,-0.0006358824,0.0,0.003097173,-0.007208802,0.0,0.0,0.0,0.061455224,0.06551509,0.0026197413,0.17816201,0.17529754,-0.03505971
-0.49503827,-0.594686,0.0063235145,-0.80855244,-1.015304,-0.00016793821,-0.012464406,0.0030522407,0.0012739641,-0.0006358824,0.0,0.0030269898,-0.0049047377,0.0,0.0,0.0,0.05501741,0.045565438,-0.0030955877,-0.49100223,-0.15611967,-0.09562553
-0.3099203,-0.059313376,0.006534483,-0.49223167,0.15601635,-0.06234248,-0.014439158,0.0012364056,0.0010321564,-0.0006358824,0.0,0.003359005,-0.004415361,0.0,0.0,0.0,0.066201776,0.0527804,0.0021749139,0.1609399,0.0936105,-0.07314219
0.11820151,-1.1405132,0.0059823547,-0.58212954,-0.6972937,0.025998997,-0.010350985,0.0041939984,0.0004768146,-0.0006358824,0.0,0.0031415324,-0.010418089,0.0,0.0,0.0,0.050468177,0.045171417,-0.004790622,-0.42407688,-0.07864087,-0.07901723
-0.4980657,-0.09013298,0.006331217,0.46699542,-0.28569072,-0.046355836,-0.013313355,0.0030852817,0.00011020471,-0.0006358824,0.0,0.0031037787,-0.0069820955,0.0,0.0,0.0,0.05669694,0.059551187,-0.0055681528,0.239257,-0.15282102,0.16573542
-0.5090463,-0.33631575,0.006527605,-1.4010459,-0.65254676,-0.015257033,-0.0120262345,0.0014682917,0.0011146504,-0.0006358824,0.0,0.00335677,-0.02732295,0.0,0.0,0.0,0.033480585,0.042169992,-0.005307291,-0.47925135,-0.10823354,-0.11044001
-1.6480668,-0.29543626,0.006527605,-0.40369236,-1.184651,-0.03395617,0.0025188988,-0.0063506444,-0.0015871536,-0.0006358824,0.0,0.0032507852,-0.0046277293,0.0,0.0,0.0,0.05503907,0.043544374,-0.0055364007,0.060276724,-0.05635323,0.43480575
-0.00035466906,-0.14715254,0.00677683,0.6766933,0.23509094,0.006929994,-0.0035698628,0.0027650492,-0.0037260323,-0.0006358824,0.0,0.003216397,-0.0077418312,0.0,0.0,0.0,0.058215804,0.06542318,0.0019017858,0.14288531,0.11648335,-0.025636602
0.007060849,-0.17207277,0.0053536016,-0.33521503,-0.5794623,-0.011808531,-0.012833249,0.0019168486,-0.0015748059,-0.006284812,0.0,0.0026792567,-0.005102349,0.0,0.0,0.0,0.046606664,-2.2271826,-0.002601788,0.15571897,-0.18565026,-0.043987017
-2.0072985,-0.45555115,0.0063977097,0.16720508,0.4269394,0.06425673,0.012739837,0.022116939,-0.021572333,-0.0006358824,0.0,0.0031565048,-0.0053656185,0.0,0.0,0.0,0.065091155,0.054732513,0.0023271749,-0.21353178,-0.1030096,-0.060580682
-0.82635075,0.024503166,0.0068374895,-1.1614584,-0.61963433,-0.01714037,-0.012418211,0.00033224525,0.0011146504,-0.0006358824,0.0,0.00335677,-0.036123265,0.0,0.0,0.0,0.034021165,0.04289692,-0.005248859,-0.47047713,-0.10863655,-0.10652941
-0.11402138,-0.09465958,0.007215565,-0.6237197,0.39631167,0.026870156,-0.013693261,-0.27974045,-0.05294903,-0.0006358824,0.0,0.0033371767,-0.0074297795,0.0,0.0,0.0,-1.6259592,0.045017973,0.0023095326,-0.26816636,-0.07867508,-0.052209213
-0.3116592,-0.3007956,0.0063235145,-0.7682375,-0.7146608,-0.037045132,-0.009514107,0.0037429458,0.0011146504,-0.006284812,0.0,0.0030269898,-0.0049047377,0.0,0.0,0.0,0.057092674,0.04579341,-0.00569163,-0.38398486,-0.07644891,-0.100205734
-0.34400594,0.29174662,0.006769952,-0.8959774,-0.4138644,0.013649244,-0.0132550895,0.00034456514,-0.0014652195,-0.00049097877,0.0,0.0034281749,-0.05168291,0.0,0.0,0.0,0.02479441,0.041707344,-0.0037813713,-0.6135863,-0.10197524,-0.10146302
